date,timestamp,open,high,low,close,volume
2020-11-18,18:00:00,3615.649,3619.397,3611.642,3615.645,3.48997486739802
2020-11-18,19:00:00,3615.939,3618.648,3610.139,3611.442,2.74565589648591
2020-11-18,20:00:00,3611.639,3613.999,3596.648,3601.948,6.16085976822069
2020-11-18,21:00:00,3601.946,3604.954,3590.351,3598.133,9.75977963383775
2020-11-18,22:00:00,3598.145,3604.199,3565.651,3566.436,15.3761094185174
2020-11-18,23:00:00,3566.433,3570.845,3562.042,3564.336,2.8556798932259
2020-11-19,01:00:00,3563.639,3570.397,3563.333,3565.342,3.79457985638874
2020-11-19,02:00:00,3565.343,3568.151,3556.651,3561.133,6.803659742116
2020-11-19,03:00:00,3561.351,3569.151,3560.199,3567.654,6.11489976831945
2020-11-19,04:00:00,3567.645,3568.148,3561.739,3563.333,4.15963984344853
2020-11-19,05:00:00,3563.533,3564.652,3556.636,3562.342,4.3354398352094
2020-11-19,06:00:00,3562.548,3565.397,3561.633,3564.854,2.32070991204819
2020-11-19,07:00:00,3564.831,3571.651,3563.633,3568.848,2.93267988879234
2020-11-19,08:00:00,3569.133,3575.699,3567.336,3574.836,3.1594228822097
2020-11-19,09:00:00,3575.054,3576.199,3566.851,3566.851,3.68471386228202
2020-11-19,10:00:00,3567.399,3570.899,3547.833,3550.899,8.60659367506605
2020-11-19,11:00:00,3550.849,3558.642,3546.839,3551.351,7.78460970503511
2020-11-19,12:00:00,3551.34,3557.151,3544.645,3555.639,5.3645997979329
2020-11-19,13:00:00,3555.652,3563.199,3549.845,3561.854,3.90765985223697
2020-11-19,14:00:00,3562.142,3566.199,3561.633,3563.348,2.79708989494247
2020-11-19,15:00:00,3563.334,3565.831,3554.648,3562.651,5.51249979290878
2020-11-19,16:00:00,3562.651,3566.299,3544.739,3563.754,13.4798674885506
2020-11-19,17:00:00,3563.939,3569.754,3550.436,3561.742,14.0716494713561
2020-11-19,18:00:00,3561.746,3566.599,3557.042,3562.848,9.98276962729869
2020-11-19,19:00:00,3563.099,3566.054,3555.533,3558.842,7.91600970295258
2020-11-19,20:00:00,3558.846,3570.399,3557.833,3568.854,7.49975972046377
2020-11-19,21:00:00,3569.099,3585.049,3567.833,3580.348,6.43611976061948
2020-11-19,22:00:00,3580.551,3585.933,3575.048,3581.854,10.6988695966429
2020-11-19,23:00:00,3582.339,3584.536,3575.436,3577.736,1.23134995409055
2020-11-20,01:00:00,3560.445,3561.951,3547.242,3551.245,8.17039969092002
2020-11-20,02:00:00,3551.342,3562.499,3551.342,3555.742,5.67885978845879
2020-11-20,03:00:00,3555.936,3561.999,3554.999,3558.948,4.16646984498948
2020-11-20,04:00:00,3559.299,3560.251,3554.736,3559.939,2.46330990863498
2020-11-20,05:00:00,3559.952,3563.799,3557.733,3559.242,2.13404992048163
2020-11-20,06:00:00,3559.297,3569.299,3557.951,3567.748,2.38582991133444
2020-11-20,07:00:00,3567.948,3569.146,3564.454,3566.445,3.24322988133645
2020-11-20,08:00:00,3566.446,3567.349,3561.933,3564.736,3.41682987625245
2020-11-20,09:00:00,3564.842,3568.499,3562.351,3564.745,4.26230995700462
2020-11-20,10:00:00,3564.445,3571.254,3562.933,3570.748,7.86283981637098
2020-11-20,11:00:00,3570.848,3579.297,3567.436,3575.233,5.75476978631923
2020-11-20,12:00:00,3575.339,3582.799,3574.233,3579.254,5.62653979018796
2020-11-20,13:00:00,3579.297,3584.454,3576.936,3584.436,3.40277987392619
2020-11-20,14:00:00,3584.499,3585.297,3578.433,3579.736,2.75062989618164
2020-11-20,15:00:00,3579.94,3582.451,3573.733,3573.739,3.06805988412816
2020-11-20,16:00:00,3573.942,3581.499,3568.551,3573.554,9.17825965827797
2020-11-20,17:00:00,3573.84,3575.348,3564.839,3571.833,8.61999967886368
2020-11-20,18:00:00,3571.834,3579.033,3567.554,3572.039,7.32011973066255
2020-11-20,19:00:00,3572.042,3573.599,3568.842,3572.433,5.08392981032375
2020-11-20,20:00:00,3572.543,3576.599,3569.533,3574.854,4.7775598213193
2020-11-20,21:00:00,3575.042,3577.897,3570.042,3571.599,5.7305197858368
2020-11-20,22:00:00,3571.836,3573.897,3555.839,3556.554,12.4982195360935
