datetime,SPY
2023-05-31 16:30:00,417.85
2023-06-01 16:30:00,421.82
2023-06-02 16:30:00,427.92
2023-06-05 16:30:00,427.1
2023-06-06 16:30:00,428.03
2023-06-07 16:30:00,426.55
2023-06-08 16:30:00,429.13
2023-06-09 16:30:00,429.9
2023-06-12 16:30:00,433.8
2023-06-13 16:30:00,436.66
2023-06-14 16:30:00,437.18
2023-06-15 16:30:00,442.6
2023-06-16 16:30:00,439.46
2023-06-20 16:30:00,437.18
2023-06-21 16:30:00,434.94
2023-06-22 16:30:00,436.51
2023-06-23 16:30:00,433.21
2023-06-26 16:30:00,431.44
2023-06-27 16:30:00,436.17
2023-06-28 16:30:00,436.39
2023-06-29 16:30:00,438.11
2023-06-30 16:30:00,443.28
2023-07-03 16:30:00,443.79
2023-07-05 16:30:00,443.13
2023-07-06 16:30:00,439.66
2023-07-07 16:30:00,438.55
2023-07-10 16:30:00,439.66
2023-07-11 16:30:00,442.46
2023-07-12 16:30:00,446.02
2023-07-13 16:30:00,449.56
2023-07-14 16:30:00,449.28
2023-07-17 16:30:00,450.84
2023-07-18 16:30:00,454.19
2023-07-19 16:30:00,455.2
2023-07-20 16:30:00,452.18
2023-07-21 16:30:00,452.18
2023-07-24 16:30:00,454.2
2023-07-25 16:30:00,455.44
2023-07-26 16:30:00,455.51
2023-07-27 16:30:00,452.49
2023-07-28 16:30:00,456.92
2023-07-31 16:30:00,457.79
2023-08-01 16:30:00,456.48
2023-08-02 16:30:00,450.13
2023-08-03 16:30:00,448.84
2023-08-04 16:30:00,446.81
2023-08-07 16:30:00,450.71
2023-08-08 16:30:00,448.75
2023-08-09 16:30:00,445.75
2023-08-10 16:30:00,445.91
2023-08-11 16:30:00,445.65
2023-08-14 16:30:00,448.11
2023-08-15 16:30:00,442.89
2023-08-16 16:30:00,439.64
2023-08-17 16:30:00,436.29
2023-08-18 16:30:00,436.5
2023-08-21 16:30:00,439.34
2023-08-22 16:30:00,438.15
2023-08-23 16:30:00,443.03
2023-08-24 16:30:00,436.89
2023-08-25 16:30:00,439.97
2023-08-28 16:30:00,442.76
2023-08-29 16:30:00,449.16
2023-08-30 16:30:00,451.01
2023-08-31 16:30:00,450.35
2023-09-01 16:30:00,451.19
2023-09-05 16:30:00,449.24
2023-09-06 16:30:00,446.22
2023-09-07 16:30:00,444.85
2023-09-08 16:30:00,445.52
2023-09-11 16:30:00,448.45
2023-09-12 16:30:00,445.99
2023-09-13 16:30:00,446.51
2023-09-14 16:30:00,450.36
2023-09-15 16:30:00,443.37
2023-09-18 16:30:00,443.63
2023-09-19 16:30:00,442.71
2023-09-20 16:30:00,438.64
2023-09-21 16:30:00,431.39
2023-09-22 16:30:00,430.42
2023-09-25 16:30:00,432.23
2023-09-26 16:30:00,425.88
2023-09-27 16:30:00,426.05
2023-09-28 16:30:00,428.52
2023-09-29 16:30:00,427.48
2023-10-02 16:30:00,427.31
2023-10-03 16:30:00,421.59
2023-10-04 16:30:00,424.66
2023-10-05 16:30:00,424.5
2023-10-06 16:30:00,429.54
2023-10-09 16:30:00,432.29
2023-10-10 16:30:00,434.54
2023-10-11 16:30:00,436.32
2023-10-12 16:30:00,433.66
2023-10-13 16:30:00,431.5
2023-10-16 16:30:00,436.04
2023-10-17 16:30:00,436.02
2023-10-18 16:30:00,430.21
2023-10-19 16:30:00,426.43
2023-10-20 16:30:00,421.19
2023-10-23 16:30:00,420.46
2023-10-24 16:30:00,423.63
2023-10-25 16:30:00,417.55
2023-10-26 16:30:00,412.55
2023-10-27 16:30:00,410.68
2023-10-30 16:30:00,415.59
2023-10-31 16:30:00,418.2
2023-11-01 16:30:00,422.66
2023-11-02 16:30:00,430.76
2023-11-03 16:30:00,434.69
2023-11-06 17:30:00,435.69
2023-11-07 17:30:00,436.93
2023-11-08 17:30:00,437.25
2023-11-09 17:30:00,433.84
2023-11-10 17:30:00,440.61
2023-11-13 17:30:00,440.19
2023-11-14 17:30:00,448.73
2023-11-15 17:30:00,449.68
2023-11-16 17:30:00,450.23
2023-11-17 17:30:00,450.79
2023-11-20 17:30:00,454.26
2023-11-21 17:30:00,453.27
2023-11-22 17:30:00,455.02
2023-11-24 17:30:00,455.3
2023-11-27 17:30:00,454.48
2023-11-28 17:30:00,454.93
2023-11-29 17:30:00,454.61
2023-11-30 17:30:00,456.4
2023-12-01 17:30:00,459.1
2023-12-04 17:30:00,456.69
2023-12-05 17:30:00,456.6
2023-12-06 17:30:00,454.76
2023-12-07 17:30:00,458.23
2023-12-08 17:30:00,460.2
2023-12-11 17:30:00,461.99
2023-12-12 17:30:00,464.1
2023-12-13 17:30:00,470.5
2023-12-14 17:30:00,472.01
2023-12-15 17:30:00,469.33
2023-12-18 17:30:00,471.97
2023-12-19 17:30:00,474.84
2023-12-20 17:30:00,468.26
2023-12-21 17:30:00,472.7
2023-12-22 17:30:00,473.65
2023-12-26 17:30:00,475.65
2023-12-27 17:30:00,476.51
2023-12-28 17:30:00,476.69
2023-12-29 17:30:00,475.31
2024-01-02 17:30:00,472.65
2024-01-03 17:30:00,468.79
2024-01-04 17:30:00,467.28
2024-01-05 17:30:00,467.92
2024-01-08 17:30:00,474.6
2024-01-09 17:30:00,473.88
2024-01-10 17:30:00,476.56
2024-01-11 17:30:00,476.35
2024-01-12 17:30:00,476.68
2024-01-16 17:30:00,474.93
2024-01-17 17:30:00,472.29
2024-01-18 17:30:00,476.49
2024-01-19 17:30:00,482.43
2024-01-22 17:30:00,483.45
2024-01-23 17:30:00,484.86
2024-01-24 17:30:00,485.39
2024-01-25 17:30:00,488.03
2024-01-26 17:30:00,487.41
2024-01-29 17:30:00,491.27
2024-01-30 17:30:00,490.89
